season,SppAlphaCode,detection_richness,prop_of_sites,ScientificName,CommonNameEnglish
sprgmigr,HPAK,78,0.9295774647887324,Psittacara chloropterus,Hispaniolan Parakeet
sprgmigr,HPAT,78,0.49295774647887325,Amazona ventralis,Hispaniolan Parrot
sprgmigr,KILL,78,0.014084507042253521,Charadrius vociferus,Killdeer
sprgmigr,LAGU,78,0.04225352112676056,Leucophaeus atricilla,Laughing Gull
sprgmigr,LBHE,78,0.014084507042253521,Egretta caerulea,Little Blue Heron
sprgmigr,LETE,78,0.04225352112676056,Sternula antillarum,Least Tern
sprgmigr,LEYE,78,0.014084507042253521,Tringa flavipes,Lesser Yellowlegs
sprgmigr,MAFR,78,0.3380281690140845,Fregata magnificens,Magnificent Frigatebird
sprgmigr,MAWA,78,0.014084507042253521,Setophaga magnolia,Magnolia Warbler
sprgmigr,MERL,78,0.7183098591549296,Falco columbarius,Merlin
sprgmigr,MODO,78,0.971830985915493,Zenaida macroura,Mourning Dove
sprgmigr,NOMO,78,0.9577464788732394,Mimus polyglottos,Northern Mockingbird
sprgmigr,NOPA,78,0.676056338028169,Setophaga americana,Northern Parula
sprgmigr,NOWA,78,0.014084507042253521,Parkesia noveboracensis,Northern Waterthrush
sprgmigr,OSPR,78,0.07042253521126761,Pandion haliaetus,Osprey
sprgmigr,PALM,78,0.971830985915493,Dulus dominicus,Palmchat
sprgmigr,PEFA,78,0.18309859154929578,Falco peregrinus,Peregrine Falcon
sprgmigr,PETH,78,0.014084507042253521,Margarops fuscatus,Pearly-eyed Thrasher
sprgmigr,PRAW,78,0.14084507042253522,Setophaga discolor,Prairie Warbler
sprgmigr,PROW,78,0.028169014084507043,Protonotaria citrea,Prothonotary Warbler
sprgmigr,RFLO,78,0.014084507042253521,Agapornis roseicollis,Rosy-faced Lovebird
sprgmigr,RLTH,78,0.4507042253521127,Turdus plumbeus,Red-legged Thrush
sprgmigr,ROPI,78,0.971830985915493,Columba livia,Rock Pigeon
sprgmigr,ROYT,78,0.15492957746478872,Thalasseus maximus,Royal Tern
sprgmigr,RUTU,78,0.028169014084507043,Arenaria interpres,Ruddy Turnstone
sprgmigr,SATE,78,0.04225352112676056,Thalasseus sandvicensis,Sandwich Tern
sprgmigr,SBAN,78,0.04225352112676056,Crotophaga ani,Smooth-billed Ani
sprgmigr,SBMU,78,0.09859154929577464,Lonchura punctulata,Scaly-breasted Munia
sprgmigr,SEPL,78,0.028169014084507043,Charadrius semipalmatus,Semipalmated Plover
sprgmigr,SESA,78,0.014084507042253521,Calidris pusilla,Semipalmated Sandpiper
sprgmigr,SHCO,78,0.30985915492957744,Molothrus bonariensis,Shiny Cowbird
sprgmigr,SNEG,78,0.028169014084507043,Egretta thula,Snowy Egret
sprgmigr,SNPI,78,0.014084507042253521,Patagioenas squamosa,Scaly-naped Pigeon
sprgmigr,SPSA,78,0.056338028169014086,Actitis macularius,Spotted Sandpiper
sprgmigr,SUCO,78,0.04225352112676056,Cacatua galerita,Sulphur-crested Cockatoo
sprgmigr,TUVU,78,0.08450704225352113,Cathartes aura,Turkey Vulture
sprgmigr,VEHU,78,0.9154929577464789,Mellisuga minima,Vervain Hummingbird
sprgmigr,VIWE,78,0.5633802816901409,Ploceus cucullatus,Village Weaver
sprgmigr,WILL,78,0.056338028169014086,Tringa semipalmata,Willet
sprgmigr,WTTR,78,0.028169014084507043,Phaethon lepturus,White-tailed Tropicbird
sprgmigr,WWDO,78,0.971830985915493,Zenaida asiatica,White-winged Dove
sprgmigr,YCNH,78,0.22535211267605634,Nyctanassa violacea,Yellow-crowned Night-Heron
sprgmigr,YFGR,78,0.9154929577464789,Tiaris olivaceus,Yellow-faced Grassquit
sprgmigr,YTWA,78,0.028169014084507043,Setophaga dominica,Yellow-throated Warbler
